Year,Region,Characteristic,Age,Sex,Result
2013,SA,Daily,45 to 54,Persons,21.3
2013,Tas,Daily,40 to 49,Persons,15.0
2016,Tas,Daily,50 to 59,Persons,15.7
2013,Tas,Daily,20 to 29,Persons,30.1
2010,NT,Daily,45 to 54,Persons,31.4
2013,Qld,Daily,25 to 34,Persons,16.7
2016,Tas,Daily,25 to 34,Persons,17.5
2016,Qld,Daily,12 to 17,Persons,2.8
2010,Australia,Daily,50 to 59,Persons,17.4
2013,Australia,Daily,35 to 44,Persons,14.9
2013,VIC,Daily,35 to 44,Persons,14.2
2016,NSW,Daily,35 to 44,Persons,12.0
2010,Qld,Daily,45 to 54,Persons,21.7
2013,NT,Daily,50 to 59,Persons,24.9
2010,VIC,Daily,25 to 34,Persons,18.8
2010,Qld,Daily,55 to 64,Persons,14.9
2013,NSW,Daily,55 to 64,Persons,13.3
2013,Qld,Daily,20 to 29,Persons,18.4
2010,VIC,Daily,35 to 44,Persons,17.1
2010,Australia,Daily,18 to 24,Persons,15.7
2016,Qld,Daily,45 to 54,Persons,16.2
2010,Australia,Daily,35 to 44,Persons,18.7
2016,WA,Daily,30 to 39,Persons,15.5
2016,VIC,Daily,45 to 54,Persons,16.9
2010,VIC,Daily,20 to 29,Persons,17.7
2016,VIC,Daily,20 to 29,Persons,13.2
2013,VIC,Daily,12 to 17,Persons,4.0
2010,NT,Daily,25 to 34,Persons,24.7
2016,Tas,Daily,14 to 19,Persons,4.9
2010,WA,Daily,55 to 64,Persons,17.0
2016,VIC,Daily,12 to 17,Persons,0.8
2016,WA,Daily,45 to 54,Persons,15.9
2010,SA,Daily,14 to 19,Persons,6.4
2016,Tas,Daily,18 to 24,Persons,21.0
2010,NT,Daily,35 to 44,Persons,27.7
2010,Qld,Daily,18 to 24,Persons,17.5
2010,Qld,Daily,25 to 34,Persons,19.3
2016,NSW,Daily,20 to 29,Persons,15.6
2013,Australia,Daily,50 to 59,Persons,15.0
2010,VIC,Daily,55 to 64,Persons,16.6
2010,VIC,Daily,65 to 74,Persons,10.2
2016,Tas,Daily,30 to 39,Persons,21.4
2013,VIC,Daily,20 to 29,Persons,14.9
2013,NT,Daily,20 to 29,Persons,20.3
2016,NT,Daily,18 to 24,Persons,17.9
2010,SA,Daily,30 to 39,Persons,17.3
2010,SA,Daily,55 to 64,Persons,15.0
2010,Australia,Daily,45 to 54,Persons,19.4
